player_ref_id,points_per_game,rebounds_per_game,assists_per_game,effective_fgp,efficiency_rating,win_shares,value_over_replacement,true_shooting_pct,steals_per_game,blocks_per_game,minutes_per_game
smailal01,4.214285714285714,1.9285714285714286,0.9285714285714286,0.538,14.5,0.2,0.0,0.61,0.21428571428571427,0.2857142857142857,9.928571428571429
smartma01,9.850374064837906,3.5660847880299253,4.059850374064838,0.456,12.1,20.7,5.0,0.501,1.571072319201995,0.3740648379052369,28.945137157107233
smithch04,5.133802816901408,1.408450704225352,0.8732394366197183,0.459,11.5,1.5,0.4,0.472,0.6126760563380281,0.49295774647887325,13.894366197183098
smithch05,,,,,0.0,0.0,0.0,,-1.0,-1.0,1.0
smithcr01,7.642679900744417,3.8883374689826304,0.7990074441687345,0.553,16.2,16.0,1.4,0.585,0.45409429280397023,0.22580645161290322,16.937965260545905
smithde03,12.544871794871796,3.16025641025641,4.538461538461538,0.45,11.9,-1.6,-0.7,0.475,1.064102564102564,0.2948717948717949,26.243589743589745
smithdo04,2.7049180327868854,1.0819672131147542,0.7868852459016393,0.45,11.1,0.5,-0.2,0.496,0.5081967213114754,0.08196721311475409,9.180327868852459
smithgr02,4.0,3.2818791946308723,0.2751677852348993,0.617,13.8,5.5,0.2,0.623,0.21476510067114093,0.3959731543624161,12.308724832214764
smithis01,7.80327868852459,2.459016393442623,3.90655737704918,0.457,13.5,12.9,2.3,0.476,0.719672131147541,0.2459016393442623,20.172131147540984
smithjr01,12.433981576253839,3.145342886386899,2.1258955987717503,0.511,13.9,46.3,14.7,0.536,0.9969293756397134,0.20880245649948823,26.8935516888434
smithja01,3.0462962962962963,1.6481481481481481,0.6111111111111112,0.414,9.7,1.3,-0.6,0.466,0.3425925925925926,0.24074074074074073,9.842592592592593
smithja02,6.1314935064935066,3.3685064935064934,0.7353896103896104,0.48,12.9,14.1,-2.4,0.515,0.33766233766233766,0.6623376623376623,16.280844155844157
smithje01,1.4,1.4,0.8,0.25,7.8,0.0,0.0,0.25,1.0,-1.0,9.2
smithjo02,10.881553398058253,6.383495145631068,0.9805825242718447,0.456,15.4,60.3,3.0,0.513,0.5883495145631068,0.8427184466019417,26.23495145631068
smithjo03,14.536912751677852,7.441834451901566,3.1196868008948546,0.472,17.4,51.0,27.2,0.504,1.2114093959731544,1.9161073825503356,32.43847874720358
smithno01,3.2976190476190474,0.9880952380952381,1.1547619047619047,0.403,7.5,-0.8,-0.8,0.435,0.2976190476190476,0.047619047619047616,9.869047619047619
smithru01,1.962962962962963,0.5555555555555556,0.7037037037037037,0.351,7.8,-0.2,-0.1,0.453,0.2962962962962963,0.037037037037037035,4.851851851851852
smithst01,14.256900212314225,3.248407643312102,3.1019108280254777,0.494,16.1,83.7,24.6,0.556,0.7707006369426752,0.291932059447983,30.63163481953291
smithst03,0.625,0.75,,0.25,-1.8,-0.1,-0.1,0.282,0.125,-1.0,3.5
smithth01,2.811320754716981,2.9622641509433962,0.660377358490566,0.36,6.0,-0.4,-0.8,0.393,0.20754716981132076,0.16981132075471697,12.981132075471699
smithzh01,3.6923076923076925,1.1538461538461537,0.9230769230769231,0.444,7.6,0.0,-0.2,0.477,0.38461538461538464,0.15384615384615385,11.0
snellto01,6.4590818363273454,2.3073852295409183,1.1616766467065869,0.54,9.1,16.1,0.0,0.56,0.47305389221556887,0.23552894211576847,22.510978043912175
snower01,6.8451536643026,2.5307328605200947,5.0177304964539005,0.43,12.2,43.4,5.9,0.492,1.1524822695035462,0.12411347517730496,27.342789598108748
snydeki01,6.317535545023697,2.3270142180094786,1.1421800947867298,0.479,12.4,4.5,0.7,0.52,0.4075829383886256,0.32701421800947866,16.777251184834125
solomwi01,5.078260869565217,1.1478260869565218,1.9565217391304348,0.443,10.5,0.0,-0.5,0.469,0.5391304347826087,0.09565217391304348,13.773913043478261
songada01,6.898989898989899,3.412121212121212,1.1898989898989898,0.499,13.3,15.9,-0.2,0.538,0.6545454545454545,0.21414141414141413,18.644444444444446
southja01,3.5,2.0,,0.433,11.8,0.0,0.0,0.441,0.25,0.5,7.5
sowpa01,2.8815789473684212,2.8157894736842106,0.15789473684210525,0.416,9.3,0.8,-0.8,0.477,0.4473684210526316,0.3157894736842105,11.56578947368421
spaldra01,3.857142857142857,3.4285714285714284,0.35714285714285715,0.532,14.6,0.2,-0.1,0.516,0.6428571428571429,0.5714285714285714,10.571428571428571
spanova01,2.7419354838709675,0.7096774193548387,0.9032258064516129,0.354,5.4,-0.1,-0.3,0.47,0.22580645161290322,0.03225806451612903,8.774193548387096
speigma01,7.931914893617021,4.078014184397163,0.6539007092198581,0.484,16.7,25.8,-0.6,0.527,0.2680851063829787,0.5049645390070922,15.092198581560284
spellom01,6.757894736842105,4.347368421052631,0.9894736842105263,0.498,13.4,2.4,0.2,0.536,0.6210526315789474,0.5157894736842106,17.8
splitti01,7.932394366197183,5.011267605633803,1.1915492957746479,0.556,17.9,25.3,5.4,0.598,0.5577464788732395,0.5887323943661972,19.1887323943662
sprewla01,18.304490690032857,4.078860898138006,4.0131434830230015,0.464,15.1,56.3,21.0,0.516,1.4173055859802848,0.4370208105147864,38.63088718510405
stackje01,16.916494845360823,3.1618556701030927,3.3402061855670104,0.446,16.5,52.4,17.4,0.524,0.8958762886597939,0.4505154639175258,31.156701030927834
stausni01,6.782089552238806,2.053731343283582,1.5313432835820895,0.49,9.1,3.8,-1.7,0.527,0.41492537313432837,0.23880597014925373,19.886567164179105
stephdj01,2.25,1.25,,0.444,12.7,0.0,0.0,0.477,0.25,-1.0,5.5
stephla01,8.570866141732283,4.181102362204724,2.8661417322834644,0.488,12.1,16.7,2.5,0.511,0.655511811023622,0.14173228346456693,23.358267716535433
stephal01,2.75,3.5,0.25,0.333,14.8,0.1,0.0,0.341,0.125,0.625,9.125
stevede01,7.196601941747573,2.2233009708737863,1.6444174757281553,0.456,9.9,12.1,-3.5,0.487,0.5133495145631068,0.16262135922330098,22.325242718446603
stewami01,2.1783216783216783,3.1713286713286712,0.3076923076923077,0.442,10.2,4.6,-1.3,0.467,0.1958041958041958,0.972027972027972,11.548951048951048
stiemgr01,3.1576354679802954,3.3448275862068964,0.47783251231527096,0.509,11.0,6.0,0.4,0.54,0.5812807881773399,1.1428571428571428,15.014778325123153
stockda01,3.0,0.3333333333333333,1.5,0.611,15.7,0.1,0.0,0.672,0.3333333333333333,-1.0,7.0
stockjo01,13.105718085106384,2.6934840425531914,10.509308510638299,0.546,21.8,207.7,106.5,0.608,2.170877659574468,0.20944148936170212,31.757978723404257
stojape01,16.973880597014926,4.703980099502488,1.7512437810945274,0.532,17.1,82.6,26.2,0.577,0.9291044776119403,0.1318407960199005,33.539800995024876
stokeja01,2.392857142857143,1.4285714285714286,0.25,0.581,19.4,0.6,0.1,0.587,0.25,0.17857142857142858,5.392857142857143
stokema01,16.41089108910891,17.287128712871286,5.257425742574258,,20.8,16.1,,0.406,-1.0,-1.0,37.34653465346535
stonedi01,1.4285714285714286,0.8571428571428571,,0.231,-1.2,-0.1,-0.1,0.339,-1.0,0.14285714285714285,3.4285714285714284
